   MQ-3 (Alcohol Sensor)(mg/L), MQ-4 (Methane Sensor)(ppm), MQ-7 (CO Sensor)(ppm), MQ-8 (Hydrogen Sensor)(ppm), MQ-9 (CO Sensor)(ppm), MQ-135 (Air Quality Sensor)(ppm), Timestamp
37.79,470.7,295.9,560.55,491.21,260.74,0:00:00
37.21,464.84,289.06,554.69,485.35,252.93,0:00:04
37.21,464.84,290.04,553.71,484.38,252.93,0:00:08
37.6,466.8,293.95,554.69,487.3,256.84,0:00:12
36.91,459.96,285.16,547.85,479.49,248.05,0:00:16
37.5,463.87,291.99,550.78,483.4,253.91,0:00:20
35.35,443.36,268.55,532.23,463.87,229.49,0:00:24
36.52,454.1,280.27,541.02,472.66,241.21,0:00:28
38.09,467.77,297.85,551.76,475.59,259.77,0:00:32
37.79,462.89,294.92,547.85,472.66,255.86,0:00:36
37.11,457.03,288.09,541.99,472.66,248.05,0:00:40
36.91,454.1,285.16,538.09,469.73,245.12,0:00:44
37.11,455.08,288.09,538.09,471.68,247.07,0:00:48
36.82,452.15,285.16,535.16,469.73,244.14,0:00:53
37.21,454.1,290.04,536.13,478.52,249.02,0:00:57
37.11,451.17,289.06,533.2,468.75,247.07,0:01:01
38.28,460.94,302.73,540.04,466.8,260.74,0:01:05
37.3,451.17,291.99,530.27,464.84,250,0:01:09
37.21,449.22,290.04,528.32,463.87,248.05,0:01:13
37.01,446.29,288.09,525.39,464.84,245.12,0:01:17
37.01,445.31,288.09,523.44,463.87,245.12,0:01:21
37.11,446.29,290.04,522.46,462.89,246.09,0:01:25
38.18,456.05,301.76,531.25,472.66,258.79,0:01:29
36.62,438.48,286.13,513.67,456.05,243.16,0:01:33
37.3,446.29,291.99,521.48,463.87,247.07,0:01:37
37.5,449.22,293.95,522.46,465.82,250,0:01:41
37.99,452.15,298.83,524.41,467.77,254.88,0:01:45
37.79,450.2,297.85,522.46,466.8,252.93,0:01:49
37.7,448.24,295.9,520.51,464.84,250.98,0:01:53
37.7,448.24,296.88,519.53,463.87,251.95,0:01:57
38.28,452.15,302.73,521.48,467.77,256.84,0:02:02
38.18,450.2,302.73,520.51,465.82,256.84,0:02:06
37.3,441.41,291.99,510.74,457.03,246.09,0:02:10
37.99,448.24,300.78,515.63,463.87,253.91,0:02:14
37.11,439.45,290.04,507.81,454.1,243.16,0:02:18
38.38,450.2,303.71,516.6,464.84,257.81,0:02:22
37.5,441.41,294.92,508.79,457.03,248.05,0:02:26
37.5,441.41,294.92,506.84,456.05,248.05,0:02:30
37.79,442.38,297.85,507.81,457.03,250.98,0:02:34
37.89,442.38,298.83,506.84,457.03,250.98,0:02:38
38.48,447.27,303.71,509.77,459.96,255.86,0:02:42
37.01,434.57,289.06,498.05,448.24,241.21,0:02:46
36.91,432.62,287.11,496.09,446.29,239.26,0:02:50
36.91,431.64,287.11,494.14,445.31,238.28,0:02:54
36.82,430.66,287.11,492.19,443.36,238.28,0:02:58
36.91,430.66,288.09,492.19,443.36,238.28,0:03:02
37.01,429.69,289.06,491.21,443.36,240.23,0:03:06
38.28,441.41,303.71,500,454.1,254.88,0:03:10
37.01,428.71,289.06,487.3,442.38,239.26,0:03:15
37.11,428.71,289.06,488.28,442.38,239.26,0:03:19
36.91,426.76,288.09,485.35,440.43,238.28,0:03:23
36.82,426.76,287.11,484.38,439.45,236.33,0:03:27
36.52,421.88,284.18,477.54,433.59,234.38,0:03:31
38.09,435.55,300.78,493.16,450.2,250,0:03:35
37.3,427.73,291.99,483.4,440.43,242.19,0:03:39
37.01,424.8,288.09,480.47,437.5,237.3,0:03:43
37.11,425.78,289.06,480.47,437.5,238.28,0:03:47
38.48,437.5,305.66,491.21,449.22,254.88,0:03:51
38.48,436.52,306.64,488.28,448.24,255.86,0:03:55
35.35,409.18,269.53,462.89,419.92,216.8,0:03:59
